Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
HMM_V2_O2,L1_H1_D16_standard_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,HMM,2,2,standard,False,rope,False,1,1,16,0.0001,0.735414,0.738605,0.735414,0.046606
HMM_V2_O2,L1_H2_D16_standard_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,HMM,2,2,standard,False,rope,False,1,2,16,0.0001,0.739315,0.738818,0.739315,0.048000
HMM_V2_O2,L1_H1_D16_linear_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,2,linear,True,absolute,True,1,1,16,0.0001,1.299968,1.285827,1.299968,0.813997
HMM_V2_O2,L1_H2_D16_linear_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,2,linear,True,absolute,True,1,2,16,0.0001,0.586074,0.592190,0.586074,0.038881
HMM_V2_O2,L1_H1_D16_linear_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,linear,True,absolute,False,1,1,16,0.0001,0.695383,0.695304,0.695383,0.363890
HMM_V2_O2,L1_H2_D16_linear_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,linear,True,absolute,False,1,2,16,0.0001,0.688061,0.693304,0.688061,0.043542
HMM_V2_O2,L1_H1_D16_linear_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,2,linear,True,rope,True,1,1,16,0.0001,0.702754,0.703178,0.702754,0.015588
HMM_V2_O2,L1_H2_D16_linear_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,2,linear,True,rope,True,1,2,16,0.0001,0.767179,0.774069,0.767179,0.096028
HMM_V2_O2,L1_H1_D16_linear_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,2,linear,True,rope,False,1,1,16,0.0001,0.808442,0.806418,0.808442,0.313129
HMM_V2_O2,L1_H2_D16_linear_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,2,linear,True,rope,False,1,2,16,0.0001,1.162275,1.165901,1.162275,0.625542
