Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
standard,2,2,rpe,False,False,0.0005,1.77967,1.78966,1.77967,0.71736
standard,2,1,absolute,False,True,0.0001,1.74246,1.76076,1.74246,0.71862
standard,2,2,rope,True,False,3e-05,1.6644,1.68839,1.6644,0.72518
standard,2,1,absolute,False,False,0.0001,1.64415,1.6459,1.64415,0.72804
standard,2,2,absolute,False,False,0.0001,1.63382,1.62888,1.63382,0.73184
standard,1,1,rpe,False,False,3e-05,1.6228,1.62051,1.6228,0.73208
standard,2,2,rope,False,True,0.0005,1.50924,1.50742,1.50924,0.73654
standard,1,2,absolute,False,True,0.0001,1.43348,1.45444,1.43348,0.74833
standard,1,2,rpe,True,False,0.0001,1.53174,1.50591,1.53174,0.7501
standard,1,2,rpe,False,True,0.0001,1.66978,1.68802,1.66978,0.75416
standard,2,2,rope,True,True,3e-05,1.2331,1.2286,1.2331,0.75632
standard,2,1,rope,True,True,0.0001,1.71229,1.6998,1.71229,0.76717
standard,1,1,rope,False,True,0.0001,1.66566,1.64424,1.66566,0.78034
standard,1,1,absolute,True,True,3e-05,1.73023,1.75712,1.73023,0.81301
standard,1,1,rpe,False,True,3e-05,1.72763,1.72039,1.72763,0.82246
standard,2,2,absolute,False,False,3e-05,1.48294,1.45969,1.48294,0.82427
standard,1,1,rpe,True,False,0.0001,1.55057,1.55312,1.55057,0.83182
standard,2,2,rpe,False,False,3e-05,1.44912,1.45191,1.44912,0.83854
standard,2,2,rpe,True,False,3e-05,1.45559,1.45346,1.45559,0.84388
standard,1,2,absolute,False,False,0.0001,1.56077,1.5686,1.56077,0.85128
standard,1,1,absolute,False,False,3e-05,1.51086,1.53079,1.51086,0.85326
standard,2,1,absolute,False,False,0.0005,1.71543,1.72876,1.71543,0.8685
standard,1,1,rope,True,False,0.0001,1.37567,1.36881,1.37567,0.88334
standard,2,1,rpe,True,True,0.0001,1.84897,1.84334,1.84897,0.88884
standard,2,1,rpe,True,False,0.0005,1.66801,1.68024,1.66801,0.91513
standard,2,1,rpe,False,False,3e-05,1.84403,1.82932,1.84403,0.92415
standard,2,2,rope,False,True,3e-05,1.4773,1.47282,1.4773,0.92661
standard,2,1,rope,True,True,3e-05,1.78757,1.78374,1.78757,0.93331
standard,1,2,rpe,False,True,0.0005,1.80741,1.79639,1.80741,0.93561
standard,2,2,absolute,False,False,0.0005,1.80631,1.7995,1.80631,1.00318
standard,1,1,rpe,False,False,0.0001,1.80334,1.82159,1.80334,1.01561
standard,2,2,absolute,True,False,3e-05,1.89677,1.9066,1.89677,1.03969
standard,1,1,absolute,True,False,0.0005,1.86568,1.87896,1.86568,1.04667
standard,2,1,rpe,False,True,3e-05,1.86113,1.85961,1.86113,1.05613
standard,1,2,rope,False,True,3e-05,1.86336,1.86176,1.86336,1.09199
standard,1,2,rpe,False,False,0.0001,2.13061,2.14908,2.13061,1.1836
standard,1,2,absolute,False,True,3e-05,2.01042,2.01947,2.01042,1.21469
standard,2,2,rpe,True,True,3e-05,2.0208,2.05354,2.0208,1.22054
standard,2,1,absolute,True,True,0.0005,2.10734,2.09943,2.10734,1.28568
standard,2,1,rpe,True,False,0.0001,2.26646,2.2741,2.26646,1.36467
standard,2,1,absolute,False,False,3e-05,1.87688,1.87054,1.87688,1.38418
standard,2,2,rope,True,True,0.0001,1.87496,1.87506,1.87496,1.42978
standard,2,1,rpe,True,False,3e-05,2.15066,2.16249,2.15066,1.43531
standard,2,1,rpe,True,True,3e-05,1.7737,1.77466,1.7737,1.46672
standard,2,1,rope,True,False,0.0005,2.73235,2.75634,2.73235,1.93318
standard,2,1,rope,False,False,0.0001,2.86055,2.87347,2.86055,2.10178
standard,1,2,rpe,False,False,0.0005,2.7093,2.70224,2.7093,2.1319
standard,1,1,rope,True,True,0.0001,2.7502,2.75739,2.7502,2.15032
